Kaution, 14, 13
Eugenator, 14, 12
Mo, 14, 8
worldpeace, 14, 7
Dodder, 14, 5, 2-0
Nilhall, 14, 5, 0-2
TTTPPP, 14, 4
MR C, 14, 2
ROCKhardFISTnips, SF
