FiveAces, 16, 13, 7
Medium Tank, 16, 13, 5
Barf, 16, 11, 6;1-1;1-0
Gatekeeper, 16, 11, 6;1-1;0-1
Klaas, 16, 10
SoScared, 16, 6, 3;2-0
Abcdefg30, 16, 6, 3;0-2
Anjew, 16, 2
Testosterone Rex, 14, 1, -2
kazu., SF
Hamb, SF
Murto The Ray, SF
