6832, Sotsch, 18, 16, , , , , 
6793, maceman, 18, 15, , , , , 
6812, jvk, 16, 14, , , -1, , 
7472, Abarrat, 18, 12, , , , , 
-24, Lord of War, 18, 11, , , , , 
-25, Bamsi, 16, 8, , , -1, , 
6776, corrode, 18, 5, , , , , 
-28, ass_pounder_4000, 16, 3, , , -1, , 
6881, spetsnaz84, 18, 2, , , , , 
-23, Snufflegrunt, 16, 0, , , -1, , 
-53, Hello22, , , , , , , SF
