Goremented, 16, 14
Mo, 16, 11, 1-1
Eugenator, 16, 11, 1-1
TiTo, 16, 10
SlickSloth, 16, 8, 2-0
Duke Bones, 16, 8, 0-2
spetsnaz84, 16, 5, 1-1
TTTPPP, 16, 5, 1-1
MR C, 16, 0
DaolDnaKcol, SF
porcukor, SF
ROCKhardFISTnips, SF
PallyRoy, SF
copla201, SF
