b\u00b5g, 10, 8, 2-0
BigSmoke, 10, 8, 0-2
Tailix Killa Mentor, 10, 5, 1-1
Upps, 10, 5, 1-1
Jur, 8, 2, -2
spetsnaz84, 8, 0, -2
kthxbye, SF
Nethlafin, SF
Raishiwi, SF
Digital Jihad, SF
Karina, SF
lazarus, SF
