LorryDriver, 16, 14
Barf, 16, 13
Gatekeeper, 16, 10, 5;1-1;1-0
Smitty, 16, 10, 5;1-1;1-0
FiveAces, 16, 10, 4
Orb, 14, 6, -1
Anjew, 14, 4, -1
Blackened, 16, 2
SirCake, 16, 1
Abcdefg30, SF
Han, SF
