Gajcus, 18, 16
maceman, 18, 14
manta151, 18, 13
TiTo, 18, 11
Ekanim, 18, 10
Duke Bones, 18, 9
DVoid, 18, 8
Therapist, 18, 6
Tailix Killa Mentor, 18, 3
potato, 18, 0
