goat, 20, 19
Kav, 20, 18
Upps, 20, 13
Pinkthoth, 20, 12, 2-0
Mr Cloudy, 20, 12, 0-2
SinJul, 20, 10
KSK_Nico, 20, 8
anjew, 20, 6, 1-1
Goremented, 20, 6, 1-1
Sigil, 20, 3, 2-0
FiveAces, 20, 3, 0-2
Blackened, SF
ZxGanon, SF
Happy, SF
