goat, 14, 14
Upps, 14, 9
anjew, 14, 8, 1-1;2-1
Mr Cloudy, 14, 8; 1-1;1-2
Blackened, 14, 7
KSK_Nico, 14, 6
FiveAces, 14, 2, 1-1
Sigil, 14, 2, 1-1
Clockwork, SF
i like men, SF
